release_date,title,url,date_retrieved,summary,quotes,institution,file_1,file_2,file_advisor_1,file_advisor_2,news_bool,policy_rev,comments
2024-04-05,"China paid approximately $250,000 to ‘threat actors’ working in Canada, inquiry told",https://www.theglobeandmail.com/politics/article-china-paid-approximately-250000-to-threat-actors-working-in-canada/,2024-04-05,"<h3>Summary</h3><p>Canadian intelligence reports suggest Chinese officials transferred approximately $250,000 to actors in Canada for potential foreign interference in the 2019 federal election. The funds were distributed through various individuals to conceal their origin. Eleven political candidates and thirteen staff members were implicated or affected, with seven candidates from the Liberal Party and four from the Conservative Party. Some were willing to cooperate with foreign interference, while others were unaware due to the clandestine nature of the activities. No criminal investigations were opened by the RCMP for the 2019 or 2021 elections.</p><h3>Facts</h3><ul><li>Amount Transferred<ul><li>$250,000</li></ul></li><li>Political Candidates Implicated or Affected<ul><li>11 candidates</li></ul></li><li>Political Staff Members Implicated or Affected<ul><li>13 staff members</li></ul></li><li>Liberal Party Candidates Involved<ul><li>7 candidates</li></ul></li><li>Conservative Party Candidates Involved<ul><li>4 candidates</li></ul></li><li>RCMP Investigations into Foreign Interference<ul><li>0 investigations for 2019 or 2021 elections</li></ul></li></ul>","""It adds that “some of these threat actors received financial support from the PRC,” and says “reporting indicated that 11 political candidates and 13 political staff members were assessed to be either implicated in or impacted by this group of threat actors.”"" - ""The funds, it says, were “transferred via multiple individuals to obfuscate their origins,” through an unnamed influential community leader, to a staff member of a 2019 federal election candidate, and then an unnamed Ontario MPP.""",The Globe and Mail,Foreign Affairs,Public Safety,S. Phelan,Y. Zhu,1.0,0.0,
2024-04-04,Lower Rates Do Not Improve Housing Affordability: US Federal Reserve,https://betterdwelling.com/lower-rates-do-not-improve-housing-affordability-us-federal-reserve/,2024-04-05,"```html
<h3>Summary</h3>
<p>New research from the Dallas Fed challenges the notion that lower interest rates improve housing affordability. They argue that while lower rates decrease mortgage payments, they also increase demand and house prices, which can reduce affordability. Post-2020, housing affordability declined despite low interest rates. The Fed's research indicates that without rate hikes, house prices would have risen faster, further decreasing affordability. They also model scenarios showing that rate cuts aimed at stimulating the economy can slow affordability improvements due to increased demand and house prices.</p>

<h3>Facts</h3>
<ul>
  <li>Housing Affordability Index (HAI)
    <ul>
      <li>Decrease after 2020</li>
    </ul>
  </li>
  <li>Interest Rates
    <ul>
      <li>Slashed to nearly zero post-Global Financial Crisis</li>
      <li>Raised early 2022</li>
    </ul>
  </li>
  <li>Home Prices
    <ul>
      <li>7.5% decrease with a 1 point increase in short-term interest rates over two years</li>
    </ul>
  </li>
  <li>Affordability
    <ul>
      <li>Decline without rate hikes after 2022</li>
      <li>Improvements slow with rate cuts due to stimulated demand</li>
    </ul>
  </li>
</ul>
```","""They warn the common belief that lower rates improve affordability is based on the belief low rates have no impact on demand and thus price."" - ""The Federal Reserve isn’t the only central bank to warn low rates don’t always improve affordability. Just a few years ago, the Bank of Canada (BoC) explained to analysts that low rates historically haven’t improved affordability. """,Better Dwelling,Finance and Middle Class Prosperity,Housing and Diversity and Inclusion,E. Harper,D. Hall,1.0,0.0,
2024-04-05,Canadian unemployment rate rose again in March,http://view.website.rbc.com/?qs=bd948c947c658e8f345286c7cd696414105984ed8a5215fd15a9f031e3c97b33889b635a5ca99f616032bf4eb784485cd4b2b958b8580d16ecc0efe8282e863b33ae624f9cd74b39f808906ffa0859e3 ,2024-04-05,"
<h3>Summary</h3>
<p>Canadian employment decreased by 2k in March, with the unemployment rate rising to 6.1%, a 0.3 percentage point increase from February and 1.3 points from the post-pandemic low. This rise is attributed to longer job search times, particularly among students, and a 40% increase in layoffs from the previous year. Hours worked also fell by 0.3%, suggesting a potential slowdown in GDP growth. Wage growth remains strong at 5.1% year-over-year, although business surveys indicate it may slow down. The Bank of Canada may consider interest rate cuts by mid-year in response to these trends.</p>

<h3>Facts</h3>
<ul>
  <li>Employment change
    <ul>
      <li>-0.01% (-2k)</li>
    </ul>
  </li>
  <li>Population growth
    <ul>
      <li>+0.25% (+91k)</li>
    </ul>
  </li>
  <li>Unemployment rate
    <ul>
      <li>+0.3 percentage points (to 6.1%)</li>
      <li>+1.3 percentage points (from post-pandemic low)</li>
    </ul>
  </li>
  <li>Layoffs
    <ul>
      <li>+40% (from last year)</li>
    </ul>
  </li>
  <li>Hours worked
    <ul>
      <li>-0.3% (from February)</li>
    </ul>
  </li>
  <li>Wage growth
    <ul>
      <li>+0.02 percentage points (to 5.1% year-over-year)</li>
    </ul>
  </li>
</ul>
","<ul><li>""Much of the increase in the unemployment rate to-date has come from longer job search times for students.""</li><li>""Layoffs are also up 40% from a year ago in March.""</li><li>""Wage growth remained firm (ticking up to 5.1% year-over-year from 5.0% in February) despite rising unemployment.""</li><li>""The rise in the Canadian unemployment rate and pullback in hours worked in March are reasons to take substantially firmer looking GDP growth numbers in early 2024 with a large grain of salt.""</li><li>""Labour markets still haven't collapsed in a way that would force the Bank of Canada to react quickly or aggressively with lower interest rates.""</li></ul>",RBC,"Employment, Future Workforce Development and Disability Inclusion",Finance and Middle Class Prosperity,E. Harper,E. Harper,0.0,1.0,
2024-04-05,"Labour Force Survey, March 2024",https://www150.statcan.gc.ca/daily-quotidien/240405/dq240405a-eng.htm,2024-04-05,"<h3>Summary</h3><p>Employment in March saw a minimal decrease of 2,200 jobs, with the employment rate declining by 0.1 percentage points to 61.4%. The unemployment rate increased by 0.3 percentage points to 6.1%, with a year-over-year rise of 1.0 percentage points. Youth employment dropped by 28,000 jobs, while core-aged men saw an increase of 20,000 jobs. Industries such as accommodation and food services, wholesale and retail trade, and professional, scientific and technical services experienced employment declines. Conversely, health care and social assistance saw an increase of 40,000 jobs. Regionally, Quebec, Saskatchewan, and Manitoba faced employment drops, while Ontario reported a rise. Average hourly wages increased by 5.1% year-over-year.</p><h3>Facts</h3><ul><li><strong>Unemployment rate:</strong>&nbsp; +0.3%, to 6.1%<ul><li>YoY: +1.0%</li></ul></li><li><strong>Employment rate</strong>: &nbsp;-0.1%, to 61.4%<ul><li>Population growth (age &gt;= 15) (+0.4%) continues to outpace employment growth (+0.2%)</li><li>YoY:<ul><li>Employment -1.6% | +324,000</li><li>working-age population: +3.2% | +1.0 million:</li></ul></li><li>Number of employed: 0.0% to 20,401,000</li></ul></li><li><strong>Participation rate</strong>: -0.0% to 65.3%:<ul><li>Stood for the 3rd consecutive month</li><li>YoY: -0.4% | 65.3%<ul><li>“Among youth, the participation rate fell at a faster rate among students (-2.7 percentage points to 45.0%) than non-students (-0.9 percentage points to 86.6%) over the period (not seasonally adjusted)”</li></ul></li></ul></li><li><strong>Total hours worked:</strong> 0.0%<ul><li>+0.7% y/y</li></ul></li><li>YoY <strong>average hourly wages</strong> rose +5.1% (+$1.69 to $34.81) in March (unadjusted):</li><li><strong>Youth employment</strong> (aged 15 to 24)<ul><li>-1.0% (-28,000)</li></ul></li><li><strong>Core-aged men employmen</strong>t (aged 25 to 54)<ul><li>+0.3% (+20,000)</li></ul></li><li><strong>Employment by Industry</strong>:<ul><li>Accommodation and food services employment: -2.4% (-27,000)</li><li>Wholesale and retail trade employment: -0.8% (-23,000)</li><li>Professional, scientific and technical services employment: -1.0% (-20,000)</li><li>Health care and social assistance employment: +1.5% (+40,000)</li><li>Construction: +1.0% (+15,000)</li><li>Finance, insurance, real estate, rental and leasing: +0.8% (+11,000)</li><li>Utilities: +2.8% (+4,300)</li></ul></li><li><strong>Employment change by province:</strong><ul><li>Quebec: -0.4% (-18,000)</li><li>Saskatchewan: -1.0% (-6,000)</li><li>Manitoba: -0.6% (-4,300)</li><li>Ontario: +0.3% (+26,000)<ul></ul></li></ul></li></ul>","""Employment was little changed in March (-2,200; -0.0%)"" - ""The unemployment rate rose 0.3 percentage points to 6.1% in March"" - ""On a year-over-year basis, the unemployment rate was up by 1.0 percentage points"" - ""In March, employment declined among youth aged 15 to 24 (-28,000; -1.0%)"" - ""Employment increased in four industries, led by health care and social assistance (+40,000; +1.5%)"" - ""Employment decreased in Quebec (-18,000; -0.4%), Saskatchewan (-6,000; -1.0%) and Manitoba (-4,300; -0.6%) in March"" - ""Average hourly wages among employees rose 5.1% (+$1.69 to $34.81) on a year-over-year basis in March"" - ""The youth employment rate fell 0.9 percentage points to 55.0% in March 2024, the lowest level since February 2012"" - ""The employment rate for core-aged men was 87.2% for the third consecutive month"" - ""The majority (64.9%) of people who were unemployed in February 2024 remained unemployed in March 2024"" - ""The youth unemployment rate rose 1.0 percentage points in the month to 12.6%"" - ""From March 2023 to March 2024, the unemployment rate rose 3.9 percentage points to 10.8% among core-aged Black Canadians"" - ""Employment fell by 27,000 (-2.4%) in accommodation and food services in March"" - ""Employment in Ontario increased by 26,000 (+0.3%) in March"" - ""The unemployment rate in Saskatchewan increased in March to 5.4% (+0.4 percentage points)"" - ""St. Catharines–Niagara records largest year-over-year increase in unemployment rate""",Statistics Canada,"Employment, Future Workforce Development and Disability Inclusion",Labour,E. Harper,Y. Zhu,0.0,1.0,
2024-04-05,"Mining industries: Annual energy consumption, 2022",https://www150.statcan.gc.ca/daily-quotidien/240405/dq240405b-eng.htm,2024-04-05,"<h3>Summary</h3><p>Energy consumption statistics for the mining industry in 2022, classified by the North American Industry Classification System, are now available at national, provincial, and territorial levels. The data includes energy expenses and quantities purchased by energy type.</p><h3>Facts</h3><p>Raw data is accessible through the source.</p>",,Statistics Canada,Natural Resources,Environment and Climate Change,C. MacDonald,C. MacDonald,0.0,1.0,
2024-04-05,Study: High school graduation in British Columbia from 2010/2011 to 2018/2019: A focus on special needs status,https://www150.statcan.gc.ca/daily-quotidien/240405/dq240405c-eng.htm,2024-04-05,"```html
<h3>Summary</h3>
<p>
The study examined high school graduation rates in British Columbia from 2010/2011 to 2018/2019, focusing on students with special needs. It found significant diversity in graduation rates among different special needs categories. Students with learning disabilities and sensory needs had the highest graduation rates (around 80-90%), while those with intellectual disabilities had the lowest (60-70%). Males were predominant in special needs categories except for gifted students. Graduation rates increased with age, especially for students with special needs. After adjusting for various factors, students with gifted status were more likely to graduate than their peers without special needs.
</p>

<h3>Facts</h3>
<ul>
  <li>Male students with special needs (excluding gifted)
    <ul>
      <li>80% (ASD category)</li>
    </ul>
  </li>
  <li>Graduation rates for students with special needs
    <ul>
      <li>90% (learning disabilities)</li>
      <li>80-90% (sensory needs)</li>
      <li>60-70% (intellectual disabilities)</li>
    </ul>
  </li>
  <li>Graduation rates at age 19 compared to age 18 or younger
    <ul>
      <li>5-10 percentage points higher (students with special needs)</li>
      <li>3-7 percentage points higher (students without special needs)</li>
    </ul>
  </li>
  <li>Graduation likelihood after accounting for individual characteristics, family background, and academic achievement
    <ul>
      <li>Higher (students with gifted status compared to those without special needs)</li>
      <li>Lowest (students with intellectual disabilities)</li>
    </ul>
  </li>
</ul>
```","""Graduation of High School Students in British Columbia from 2010/2011 to 2018/2019: A Focus on Special Needs Status"" - ""Students with special needs (excluding students with gifted status) were less likely to graduate high school."" - ""For example, students with learning disabilities (about 9 in 10) and those with sensory needs (about 8 to 9 in 10) were most likely to graduate from high school, while students with intellectual disabilities (6 to 7 in 10) were least likely."" - ""The largest age differences were observed among students with ASD, behavioural needs or mental illness, and physical needs."" - ""After accounting for individual characteristics, family background and academic achievement, students with gifted status were more likely to graduate from high school than those without special needs."" - ""Conversely, compared with students without special needs, those with intellectual disabilities had the lowest high school graduation proportions, followed by those with behavioural or mental illness and those with physical needs.""",Statistics Canada,Education,Disability Inclusion,M. Emes,E. Harper,0.0,0.0,
2024-04-05,New Dashboard: Historical data for language indicators over time,https://www150.statcan.gc.ca/daily-quotidien/240405/dq240405d-eng.htm,2024-04-05,"<h3>Summary</h3>
<p>Statistics Canada has launched the ""Language indicators over time: Interactive Dashboard,"" which offers historical data on language use in Canada. It covers mother tongue and knowledge of official languages from 1951 to 2021, and first official language spoken and language spoken most often at home from 1971 to 2021.</p>

<h3>Facts</h3>
<ul>
  <li>Mother tongue
    <ul>
      <li>1951-2021</li>
    </ul>
  </li>
  <li>Knowledge of official languages
    <ul>
      <li>1951-2021</li>
    </ul>
  </li>
  <li>First official language spoken
    <ul>
      <li>1971-2021</li>
    </ul>
  </li>
  <li>Language spoken most often at home
    <ul>
      <li>1971-2021</li>
    </ul>
  </li>
</ul>","""Language indicators over time: Interactive Dashboard""",Statistics Canada,Official Languages,Digital Government,Y. Zhu,D. Hall,0.0,0.0,
2024-04-05,"Real-time local business conditions, March 18 to 31, 2024",https://www150.statcan.gc.ca/daily-quotidien/240405/dq240405e-eng.htm,2024-04-05,"<h3>Summary</h3>
<p>No content provided to summarize regarding the statistics and points for the period of March 18 to 31, 2024.</p>

<h3>Facts</h3>
<p>No variables provided to list changes and values.</p>",There are no headline-worthy quotes provided in the content supplied. Please provide content with quotes or statements that could be considered for headlines.,Statistics Canada,Small Business Recovery and Growth,"Economic Development Agency for Eastern, Central and Southern Ontario",E. Harper,D. Hall,0.0,0.0,
2024-04-04,Canadians waiting longer for surgeries and other procedures compared to 2019: report,https://nationalnewswatch.com/2024/04/04/canadians-waiting-longer-for-surgeries-and-other-procedures-compared-to-2019-report,2024-04-04,"
<h3>Summary</h3>
<p>Patients in Canada are experiencing longer wait times for priority procedures like hip and knee replacements and cancer surgeries post-COVID-19, despite an increase in the number of surgeries performed. The Canadian Institute for Health Information reports a decline in the percentage of patients treated within recommended time frames since 2019. Disparities exist among provinces, with Ontario generally having shorter waits. Median wait times for certain cancer surgeries have also increased slightly. Strategies such as same-day discharges and hiring more physician assistants are suggested to improve efficiency.</p>

<h3>Facts</h3>
<ul>
  <li>Hip replacement surgery within 26 weeks
    <ul>
      <li>66% (-9%, -9 percentage points from 2019)</li>
      <li>Number of procedures: +18%</li>
    </ul>
  </li>
  <li>Knee replacement surgery within 26 weeks
    <ul>
      <li>59% (-11%, -11 percentage points from 2019)</li>
    </ul>
  </li>
  <li>Lowest provincial rates for knee replacement within 26 weeks
    <ul>
      <li>Prince Edward Island: 21%</li>
      <li>Newfoundland and Labrador: 37%</li>
      <li>New Brunswick: 38%</li>
      <li>Quebec: 38%</li>
    </ul>
  </li>
  <li>Highest provincial rate for knee replacement within 26 weeks
    <ul>
      <li>Ontario: 76%</li>
    </ul>
  </li>
  <li>Hip fracture repair within 48 hours
    <ul>
      <li>82% (-4%, -4 percentage points from 2019)</li>
    </ul>
  </li>
  <li>Radiation therapy within recommended time frame
    <ul>
      <li>94% (-3%, -3 percentage points from 2019)</li>
    </ul>
  </li>
  <li>Lowest provincial rate for radiation therapy within recommended time frame
    <ul>
      <li>Newfoundland and Labrador: 57%</li>
    </ul>
  </li>
  <li>Median wait times increase for cancer surgeries
    <ul>
      <li>+2 to +4 days compared to 2019</li>
    </ul>
  </li>
  <li>Day surgeries in British Columbia
    <ul>
      <li>2021-2022: 17%</li>
      <li>2018: 1%</li>
    </ul>
  </li>
</ul>
","<ul><li>""The data shows that 66 per cent of hip replacement patients had surgery within the recommended time frame of 26 weeks compared to 75 per cent in 2019, even though the number of procedures rose by 18 per cent.""</li></ul>",National Newswatch,Health,Finance and Middle Class Prosperity,C. MacDonald,E. Harper,1.0,0.0,
2024-04-04,"Dollarama reports 24% profit boost in fourth quarter, hikes dividend",https://www.theglobeandmail.com/business/article-dollarama-reports-24-profit-boost-in-fourth-quarter-hikes-dividend/,2024-04-04,"<h3>Summary</h3>
<p>Dollarama Inc. reported a 24% increase in Q4 profit, with net earnings rising to $323.8 million. The company saw a comparable store sales growth of 8.7% for the quarter and 12% for the full year. Total sales grew by 11.3% to $1.6 billion in Q4 and by 16.1% to nearly $5.9 billion for the full year. Dollarama also increased its quarterly dividend by 29.9%, opened 65 new stores, and expects to open 60 to 70 more this year. Gross profit margin improved to 46.3%, and full-year net earnings reached $1 billion.</p>

<h3>Facts</h3>
<ul>
  <li>Q4 profit increase
    <ul>
      <li>24% (24-per-cent)</li>
    </ul>
  </li>
  <li>Quarterly dividend increase
    <ul>
      <li>29.9% (to 9.2 cents per common share)</li>
    </ul>
  </li>
  <li>Comparable store sales growth (Q4)
    <ul>
      <li>8.7% (compared to the same period the prior year)</li>
    </ul>
  </li>
  <li>Total sales growth (Q4)
    <ul>
      <li>11.3% (to $1.6-billion)</li>
    </ul>
  </li>
  <li>Gross profit margin
    <ul>
      <li>46.3% (compared to 44.6% in the prior year)</li>
    </ul>
  </li>
  <li>Full-year sales increase
    <ul>
      <li>16.1% (to nearly $5.9-billion)</li>
    </ul>
  </li>
  <li>New stores opened
    <ul>
      <li>65 (total to 1,551 locations)</li>
    </ul>
  </li>
  <li>Comparable sales growth (full year)
    <ul>
      <li>12%</li>
    </ul>
  </li>
  <li>Full-year net earnings
    <ul>
      <li>$1-billion (or $3.57 per share)</li>
    </ul>
  </li>
</ul>","<ul><li>""Dollarama Inc.DOL-T +7.39%increase reported a 24-per-cent increase in profit in the fourth quarter, as Canadians feeling the sting of inflation continue to visit discount retailers to purchase everyday needs such as food, cleaning products, and personal care items.""</li><li>""The Montreal-based company also boosted its quarterly dividend by 29.9 per cent, to 9.2 cents per common share.""</li><li>""While people are buying less items during each trip to Dollarama, they are shopping there more frequently, partly as they look for lower prices on products the company refers to as “consumables.”""</li><li>""That has been an ongoing trend over the past two years as prices have risen and people have looked for ways to cut back""</li></ul>",The Globe and Mail,Finance and Middle Class Prosperity,Small Business Recovery and Growth,E. Harper,E. Harper,1.0,0.0,
2024-04-04,"Majority of recent CO2 emissions linked to just 57 producers, report says",https://www.theglobeandmail.com/business/industry-news/energy-and-resources/article-majority-of-recent-co2-emissions-linked-to-just-57-producers-report/,2024-04-04,"```html
<h3>Summary</h3>
<p>Between 2016 and 2022, 57 entities accounted for 80% of global CO2 emissions from fossil fuels and cement, as per the Carbon Majors report by InfluenceMap. Top emitters include Saudi Aramco, Gazprom, and Coal India. Despite the Paris Agreement, fossil fuel production has increased, leading to record high CO2 emissions. The report aims to enhance transparency and accountability for climate change impacts, and has been used in legal cases and research.</p>

<h3>Facts</h3>
<ul>
  <li>Entities responsible for emissions
    <ul>
      <li>80% (57 entities)</li>
    </ul>
  </li>
  <li>Top CO2-emitting companies (2016-2022)
    <ul>
      <li>Saudi Aramco</li>
      <li>Gazprom</li>
      <li>Coal India</li>
    </ul>
  </li>
  <li>Paris Agreement (2015)
    <ul>
      <li>Fossil fuel production increased post-agreement</li>
    </ul>
  </li>
  <li>Global energy-related CO2 emissions
    <ul>
      <li>Record high in the last year</li>
    </ul>
  </li>
  <li>Use of Carbon Majors database
    <ul>
      <li>Legal cases</li>
      <li>Academic research</li>
      <li>Campaign groups</li>
      <li>Investors</li>
    </ul>
  </li>
</ul>
```","""The world’s top three CO2-emitting companies in the period were state-owned oil firm Saudi Aramco, Russia’s state-owned energy giant Gazprom and state-owned producer Coal India, the report said."" - ""Since then, while many governments and companies have set tougher emissions targets and rapidly expanded renewable energy, they have also produced and burned more fossil fuels, causing emissions to rise.""",The Globe and Mail,Environment and Climate Change,Natural Resources,C. MacDonald,C. MacDonald,1.0,0.0,
2024-04-04,"Canadian deal-making still stuck in a rut, despite the hot markets",https://www.theglobeandmail.com/business/article-embaroged-canadian-deal-making-still-stuck-in-a-rut-despite-the-hot/,2024-04-04,"```html
<h3>Summary</h3>
<p>Canadian M&A activity in Q1 2024 declined by 23% year-over-year to US$28.1 billion, falling 55% below the 10-year average. Stock sales rebounded to $5 billion from last year's $1.9 billion, yet remained below the $10.1 billion decade average. Debt deals rose by 35%, exceeding the 10-year average by 28%. No IPOs occurred, continuing 2023's downturn. Optimism is seen in equity and debt markets, with expectations of increased M&A activity as recession fears wane and private equity pressure to invest grows.</p>

<h3>Facts</h3>
<ul>
  <li>M&A activity
    <ul>
      <li>-23% (US$28.1-billion from Q1 2023)</li>
      <li>-55% (below 10-year Q1 average of US$62.1-billion)</li>
    </ul>
  </li>
  <li>Stock sales
    <ul>
      <li>+163% (to nearly $5-billion from $1.9-billion in Q1 2023)</li>
      <li>-50% (below 10-year average of $10.1-billion)</li>
    </ul>
  </li>
  <li>Debt deals
    <ul>
      <li>+35% (to $21.4-billion from start of 2023)</li>
      <li>+28% (above 10-year Q1 average)</li>
    </ul>
  </li>
  <li>IPO market
    <ul>
      <li>0 (no IPOs in Q1 2024)</li>
    </ul>
  </li>
</ul>
```","""Deal-making all but dried up in Canada during the first three months of 2024, despite hot stock markets and a rebound in mergers and acquisitions globally."" - ""[M&A involving Canadian businesses marked]a 23-per-cent decline from the same period in 2023 and nearly 55 per cent below the 10-year first-quarter average of US$62.1-billion."" - ""There was a glimmer of optimism in the debt market, however, as Canadian businesses raised $21.4-billion through deals during the first quarter – a 35-per-cent increase from the start of 2023, and more than 28 per cent above the 10-year first-quarter average."" - ""That follows 2023, which was the worst year since at least 1994 for the Canadian IPO market.""",The Globe and Mail,"Innovation, Science and Industry",International Trade,E. Harper,D. Hall,1.0,0.0,
2024-04-04,"Canada lost 8.6 million hectares of forest in 2023, more than 90% due to wildfires",https://www.theglobeandmail.com/canada/article-canadas-rate-of-forest-loss-from-wildfire-quintupled-in-2023-from/,2024-04-04,"
<h3>Summary</h3>
<p>Canada experienced a record forest loss of 8.6 million hectares in 2023, with over 90% due to wildfires. This figure is 3-5 times higher than any previous year and represents more than 2% of Canada's total forest cover. The World Resources Institute highlighted this as the most concerning fire story globally. Despite the significant loss, Canada's overall forest area is expected to remain stable. The federal government reported an even higher area burned at 15 million hectares. Globally, tropical forests decreased by 3.7 million hectares, with deforestation rates dropping in Brazil and Colombia but rising in other countries.</p>

<h3>Facts</h3>
<ul>
  <li>Canada's forest loss in 2023
    <ul>
      <li>8.6 million hectares</li>
    </ul>
  </li>
  <li>Percentage due to wildfires
    <ul>
      <li>Over 90%</li>
    </ul>
  </li>
  <li>Comparison to previous years
    <ul>
      <li>3-5 times greater</li>
    </ul>
  </li>
  <li>Total forest cover of Canada
    <ul>
      <li>367 million hectares (end of 2022)</li>
    </ul>
  </li>
  <li>Percentage of total forest cover burned
    <ul>
      <li>More than 2%</li>
    </ul>
  </li>
  <li>Average area burned annually over the past 50 years
    <ul>
      <li>2.3 million hectares</li>
    </ul>
  </li>
  <li>Previous record for area burned (1989)
    <ul>
      <li>7.6 million hectares</li>
    </ul>
  </li>
  <li>Canadian federal government's reported area burned in 2023
    <ul>
      <li>15 million hectares</li>
    </ul>
  </li>
  <li>Global tropical forest loss in 2023
    <ul>
      <li>3.7 million hectares</li>
    </ul>
  </li>
  <li>Deforestation rates in Brazil and Colombia
    <ul>
      <li>Decreased significantly</li>
    </ul>
  </li>
  <li>Deforestation rates in Laos, Bolivia, DRC, and Nicaragua
    <ul>
      <li>Accelerating losses</li>
    </ul>
  </li>
  <li>2030 target for halting forest loss
    <ul>
      <li>Far off track</li>
    </ul>
  </li>
</ul>
","""The satellite-derived data, produced by researchers at the University of Maryland, showed that the swaths of forest burned in Canada in 2023 represented one of the largest anomalies witnessed since they began collecting the data globally in 2001. They dubbed it the world’s “most concerning fire story” of the year."" - ""The surface area burned across Canada last year “is three, four and five times greater than any individual preceding year,” said Matthew Hansen, a remote sensing scientist who leads a lab at the university that studies changes on the Earth’s surface"" - ""Canada’s overall forest loss last year, though widely described as record-breaking, had only a negligible impact on the country’s vast overall forest cover.""",The Globe and Mail,Environment and Climate Change,Natural Resources,C. MacDonald,C. MacDonald,1.0,0.0,
2024-04-04,Cultural LTC admissions drying up in Ontario due to new priority rules,https://www.theglobeandmail.com/canada/article-cultural-ltc-admissions-drying-up-in-ontario-due-to-new-priority-rules/,2024-04-04,"```html
<h3>Summary</h3>
<p>In Toronto, cultural long-term care homes like Villa Colombo and Ivan Franko Home face challenges due to Bill 7, enacted in 2022. This law prioritizes hospital patients needing long-term care, leading to non-Italian residents being admitted to Italian-speaking homes, causing cultural isolation and confusion. At Ivan Franko Home, non-Ukrainian occupancy has risen to 25% from 8-10% pre-pandemic, necessitating additional cultural accommodations. Hospitals can charge patients $400 per day for refusing transfers. Discussions are ongoing to address these unintended consequences.</p>

<h3>Facts</h3>
Bill 7
  - Enacted in 2022
  - Prioritizes hospital patients for long-term care home placement

Non-Italian residents in Villa Colombo
  - Increase of 3 residents per month

Non-Ukrainian residents in Ivan Franko Home
  - Increase to 25% occupancy
  - Pre-pandemic occupancy was 8-10%

Hospital transfer refusal fee
  - $400 per day

Transfer distance for patients
  - Up to 70 kilometres in general
  - Up to 150 kilometres in northern Ontario
```","""A law known as Bill 7 enacted in 2022 has garnered much criticism for allowing people to be placed in a long-term care home not of their choosing, but AdvantAge Ontario CEO Lisa Levin said the law has had other consequences as well."" - ""Levin, of AdvantAge Ontario, said it seems like the impact on cultural home admissions was an unintended consequence of Bill 7 and she has had “encouraging” conversations with Minister Stan Cho about how to address it.""",The Globe and Mail,Health,Long-Term Care,C. MacDonald,M. Emes,1.0,0.0,
